,code,name,py,3,4,jz,day1,week1,month1,month3,month6,year1,year2,year3,year0,yearall,1,2,3
0,161226,国投瑞银白银期货(LOF),GTRYBYQHLOF,2019-08-30,0.96,0.96,0.1043,8.3521,15.6627,29.0323,22.1374,26.9841,5.6106,-9.6045,22.6054,-4,2015-08-06,1,-4
1,320007,诺安成长混合,NACZHH,2019-08-30,0.9310,1.3760,-1.0627,6.6438,17.4022,17.6991,15.7960,15.0803,-3.5233,-20.4274,46.3836,39.0911,2009-03-10,1,8.6348
2,003745,广发多元新兴股票,GFDYXXGP,2019-08-30,1.1738,1.1738,1.2944,6.6315,13.7073,23.6620,31.3416,29.3586,12.1215,,55.1619,17.38,2017-04-25,1,17.38
3,164403,前海开源沪港深农业混合,QHKYHGSNYHH,2019-08-30,1.3570,1.3770,0.0737,5.8503,6.2647,18.6189,24.4955,32.3903,40.7676,49.4493,44.8239,38.5041,2015-06-04,1,38.5041
4,001302,前海开源金银珠宝混合A,QHKYJYZBHHA,2019-08-30,1.0930,1.0930,-1.0860,5.6039,11.0772,34.2752,22.3964,36.4544,-2.4107,-14.0723,32.1644,9.30,2015-07-09,1,9.3
5,002207,前海开源金银珠宝混合C,QHKYJYZBHHC,2019-08-30,1.0750,1.0750,-1.1040,5.5992,11.1686,34.2072,22.4374,36.2484,-2.5385,-14.6825,32.2263,7.50,2015-12-02,1,7.5
6,002939,广发创新升级混合,GFCXSJHH,2019-08-30,1.4324,1.4774,0.9372,5.5797,12.9653,22.1871,40.1017,35.7467,21.9884,49.4236,63.2923,49.4236,2016-08-24,1,49.4236
7,005911,广发双擎升级混合,GFSQSJHH,2019-08-30,1.6539,1.6539,0.9645,5.5659,12.2506,24.1947,37.6529,,,,68.2502,65.3735,2018-11-02,1,65.3735
8,003190,创金合信消费主题股票A,CJHXXFZTGPA,2019-08-30,1.6170,1.5389,1.2904,5.4726,5.7485,14.4779,46.6001,58.9783,51.7663,53.2779,70.0673,53.8910,2016-08-22,1,53.891
9,003191,创金合信消费主题股票C,CJHXXFZTGPC,2019-08-30,1.6075,1.5178,1.2854,5.4375,5.6176,14.0071,46.0965,57.9361,50.8714,51.7766,69.3176,51.7766,2016-08-22,1,51.7766
10,002251,华夏军工安全混合,HXJGAQHH,2019-08-30,0.9710,0.9710,2.3182,5.2004,4.6336,11.7376,7.6497,15.4578,-2.2155,-10.9991,31.9293,-2.90,2016-03-22,1,-2.9
11,004698,博时军工主题股票,BSJGZTGP,2019-08-30,0.9920,0.9920,2.1627,5.0847,9.0110,15.2149,11.4607,19.2308,-1.1952,,32.7979,-0.80,2017-07-04,1,-0.8
12,377150,上投摩根健康品质生活混合,STMGJKPZSHHH,2019-08-30,2.3710,2.3710,0.9366,5.0510,7.9690,12.3697,26.3859,28.0929,13.8262,15.8280,51.9872,137.10,2012-02-01,1,84.0839
13,160643,鹏华中证空天一体(LOF),PHZZKTYTLOF,2019-08-30,0.8781,0.8781,1.9505,5.0485,4.4735,9.1213,5.8717,13.2156,-14.1894,,30.4560,-12.1988,2017-06-13,1,-12.1988
14,006712,前海开源MSCI中国A股消费A,QHKYMSCIZGAGXFA,2019-08-30,1.3673,1.3673,1.5674,5.0476,7.2729,15.1799,28.3729,,,,,36.73,2019-01-17,1,36.73
15,006713,前海开源MSCI中国A股消费C,QHKYMSCIZGAGXFC,2019-08-30,1.3656,1.3656,1.5618,5.0462,7.2573,15.1239,28.2374,,,,,36.56,2019-01-17,1,36.56
16,001959,华商乐享互联灵活配置混合,HSLXHLLHPZHH,2019-08-30,0.7940,0.7940,0.1261,4.8877,13.5908,17.6296,23.4837,29.7386,-3.2887,-15.2615,55.0781,-20.60,2015-12-18,1,-20.6
